키,이름,cid,eye_구분,eye_근거,eye_참고출처값,skin_구분,skin_근거,skin_참고출처값,성분행수,출처URL
107534-96-3,Tebuconazole,86102.0,NC,NC_tier2_ECHA_CL_무코드,2B|NC,NC,NC_tier2_ECHA_CL_무코드,NC|NC,15,https://pubchem.ncbi.nlm.nih.gov/compound/86102
131341-86-1,Fludioxonil,86398.0,NC,NC_tier2_ECHA_CL_무코드,2B|NC|NC,NC,NC_tier2_ECHA_CL_무코드,NC|NC|NC,9,https://pubchem.ncbi.nlm.nih.gov/compound/86398
175013-18-0,Pyraclostrobin,6422843.0,NC,NC_tier2_ECHA_CL_무코드,NC,2,tier1_AnnexVI_H코드(H315),3,7,https://pubchem.ncbi.nlm.nih.gov/compound/6422843
52315-07-8,cypermethrin cis/trans +/- /60,2912.0,NC,NC_tier2_ECHA_CL_무코드,2B|NC,2,tier1_AnnexVI_H코드(H315),NC|NC,6,https://pubchem.ncbi.nlm.nih.gov/compound/2912
115-95-7,Linalyl Acetate,8294.0,2A,tier2_ECHA_CL_H코드(1:H코드(H319@85.3%)),NC|NC|2A,2,tier2_ECHA_CL_H코드(1:H코드(H315@85.5%)),2|2|2,5,https://pubchem.ncbi.nlm.nih.gov/compound/8294
107-21-1,Ethylene glycol,174.0,NC,NC_tier2_ECHA_CL_무코드,2B|NC,NC,NC_tier2_ECHA_CL_무코드,2|NC,5,https://pubchem.ncbi.nlm.nih.gov/compound/174
330-54-1,"Diuron 3-(3,4-dichlorophenyl)-1,1-dimethylurea",3120.0,NC,NC_tier2_ECHA_CL_무코드,2B|NC|NC,NC,NC_tier2_ECHA_CL_무코드,3|NC|NC,5,https://pubchem.ncbi.nlm.nih.gov/compound/3120
8003-34-7,Pyrethrins 232-319-8,60202781.0,NC,NC_tier2_ECHA_CL_무코드,2B,NC,NC_tier2_ECHA_CL_무코드,3,4,https://pubchem.ncbi.nlm.nih.gov/compound/60202781
91-20-3,Naphthalene <,931.0,NC,NC_tier2_ECHA_CL_무코드,2B|NC,NC,NC_tier2_ECHA_CL_무코드,3|NC,3,https://pubchem.ncbi.nlm.nih.gov/compound/931
104-76-7,Ethylhexan-1-ol <,7720.0,2A,tier2_ECHA_CL_H코드(1:H코드(H319@98.7%)),2A|1,2,tier2_ECHA_CL_H코드(1:H코드(H315@88.6%)),2|1,3,https://pubchem.ncbi.nlm.nih.gov/compound/7720
100-41-4,Ethylbenzene,7500.0,NC,NC_tier2_ECHA_CL_무코드,2B|2A|NC,NC,NC_tier2_ECHA_CL_무코드,3|2|NC,3,https://pubchem.ncbi.nlm.nih.gov/compound/7500
